subj_id,model,promptstyle,nperms,alph,prob_type,prob_ind,response_string
25,human,human,np_10,alph_3,fix_alphabet,1.0,jnolq
25,human,human,np_10,alph_5,pred,5.0,hlst
25,human,human,np_10,alph_1,succ,5.0,sudw
25,human,human,np_10,alph_4,sort,4.0,ophns
25,human,human,np_10,alph_2,add_letter,8.0,mnopq
25,human,human,np_10,alph_0,remove_redundant,6.0,lmufp
25,human,human,np_10,alph_6,attn,9.0,aaaa
25,human,human,np_20,alph_6,succ,1.0,hnad
25,human,human,np_20,alph_0,add_letter,4.0,twmci
25,human,human,np_20,alph_4,attn,3.0,aaaa
25,human,human,np_20,alph_2,sort,3.0,ruvjx
25,human,human,np_20,alph_5,pred,9.0,fnxj
25,human,human,np_20,alph_1,remove_redundant,7.0,dtsje
25,human,human,np_20,alph_3,fix_alphabet,5.0,xuqny
26,human,human,np_2,alph_2,sort,2.0,kjlmn
26,human,human,np_2,alph_5,succ,0.0,kjfn
26,human,human,np_2,alph_0,pred,9.0,acde
26,human,human,np_2,alph_6,fix_alphabet,0.0,ghijk
26,human,human,np_2,alph_1,remove_redundant,9.0,ghijk
26,human,human,np_2,alph_3,attn,3.0,aaaa
26,human,human,np_2,alph_4,add_letter,9.0,abfde
26,human,human,np_1,alph_1,add_letter,1.0,ijklm
26,human,human,np_1,alph_5,pred,8.0,gijk
26,human,human,np_1,alph_2,remove_redundant,9.0,mnopq
26,human,human,np_1,alph_4,sort,1.0,khgji
26,human,human,np_1,alph_3,fix_alphabet,2.0,defgh
26,human,human,np_1,alph_6,succ,9.0,stuw
26,human,human,np_1,alph_0,attn,3.0,aaaa
26,human,human,np_symb,symb_0,succ,6.0,@=&+
26,human,human,np_symb,symb_1,pred,9.0,&$!+
27,human,human,np_1,alph_3,sort,8.0,mnopq
27,human,human,np_1,alph_5,succ,8.0,bcdf
27,human,human,np_1,alph_1,fix_alphabet,0.0,ijklm
27,human,human,np_1,alph_6,add_letter,9.0,efghi
27,human,human,np_1,alph_4,pred,2.0,tvwx
27,human,human,np_1,alph_0,remove_redundant,5.0,ghijk
27,human,human,np_1,alph_2,attn,5.0,aaaa
27,human,human,np_symb,symb_1,pred,3.0,&$!+
27,human,human,np_symb,symb_0,succ,0.0,)*@&
27,human,human,np_2,alph_1,pred,1.0,acde
27,human,human,np_2,alph_6,add_letter,8.0,fghij
27,human,human,np_2,alph_5,attn,3.0,aaaa
27,human,human,np_2,alph_3,succ,2.0,rstv
27,human,human,np_2,alph_0,fix_alphabet,2.0,a u c d e
27,human,human,np_2,alph_2,remove_redundant,6.0,uvsxy
27,human,human,np_2,alph_4,sort,1.0,bfdec
28,human,human,np_20,alph_4,pred,2.0,ajgx
28,human,human,np_20,alph_0,succ,8.0,rstm
28,human,human,np_20,alph_6,attn,0.0,aaaa
28,human,human,np_20,alph_1,remove_redundant,8.0,mhirk
28,human,human,np_20,alph_5,fix_alphabet,0.0,ytefb
28,human,human,np_20,alph_3,sort,4.0,xmjwp
28,human,human,np_20,alph_2,add_letter,0.0,atuvr
28,human,human,np_symb,symb_1,succ,9.0,!+)@
28,human,human,np_symb,symb_0,pred,6.0,)@=&
28,human,human,np_10,alph_1,pred,6.0,ktnx
28,human,human,np_10,alph_4,fix_alphabet,1.0,efaqi
28,human,human,np_10,alph_3,succ,7.0,hibk
28,human,human,np_10,alph_5,add_letter,3.0,tuvox
28,human,human,np_10,alph_6,remove_redundant,8.0,qtyru
28,human,human,np_10,alph_0,sort,8.0,tbvxw
28,human,human,np_10,alph_2,attn,5.0,aaaa
29,human,human,np_2,alph_5,fix_alphabet,1.0,tjklm
29,human,human,np_2,alph_2,add_letter,5.0,qrwtu
29,human,human,np_2,alph_4,remove_redundant,1.0,bfdec
29,human,human,np_2,alph_6,pred,0.0,cmfg
29,human,human,np_2,alph_1,succ,5.0,alce
29,human,human,np_2,alph_0,attn,1.0,a a a a
29,human,human,np_2,alph_3,sort,6.0,fihgk
29,human,human,np_20,alph_1,attn,8.0,a a a a
29,human,human,np_20,alph_5,add_letter,1.0,bnxjs
29,human,human,np_20,alph_0,sort,9.0,qlgfj
29,human,human,np_20,alph_6,fix_alphabet,2.0,cmtdr
29,human,human,np_20,alph_4,succ,2.0,mntf
29,human,human,np_20,alph_2,remove_redundant,2.0,vrxjz
29,human,human,np_20,alph_3,pred,3.0,zhtc
29,human,human,np_symb,symb_0,succ,5.0,=&<!
29,human,human,np_symb,symb_1,pred,3.0,&$!+
30,human,human,np_10,alph_4,succ,5.0,nsjv
30,human,human,np_10,alph_5,add_letter,6.0,grijk
30,human,human,np_10,alph_1,remove_redundant,8.0,vwmjz
30,human,human,np_10,alph_2,sort,0.0,qystu
30,human,human,np_10,alph_6,pred,3.0,dfgo
30,human,human,np_10,alph_0,fix_alphabet,0.0,ghink
30,human,human,np_10,alph_3,attn,7.0,aaaa
30,human,human,np_2,alph_2,remove_redundant,2.0,tuvsx
30,human,human,np_2,alph_5,pred,7.0,tvwx
30,human,human,np_2,alph_4,add_letter,7.0,abfde
30,human,human,np_2,alph_1,fix_alphabet,7.0,alcde
30,human,human,np_2,alph_6,succ,6.0,abcm
30,human,human,np_2,alph_0,attn,8.0,aaaa
30,human,human,np_2,alph_3,sort,5.0,vwxqz
30,human,human,np_symb,symb_0,succ,6.0,@=&+
30,human,human,np_symb,symb_1,pred,7.0,&$!+
31,human,human,np_1,alph_1,add_letter,2.0,nopqr
31,human,human,np_1,alph_0,sort,9.0,klmno
31,human,human,np_1,alph_6,fix_alphabet,5.0,stuv
31,human,human,np_1,alph_4,pred,1.0,bdef
31,human,human,np_1,alph_3,succ,2.0,fghj
31,human,human,np_1,alph_2,attn,5.0,aaaa
31,human,human,np_1,alph_5,remove_redundant,8.0,lmnop
